A1,M1,V1,S1,A2,M2,V2,S2,A3,M3,V3,S3,A4,M4,V4,S4,A5,M5,V5,S5,A6,M6,V6,S6,A7,M7,V7,S7,A8,M8,V8,S8,A9,M9,V9,S9,State
0.1723375,0.2170495,0.01662615227505,0.128942437835842,0.8527248,0.857573,0.00075138035276,0.027411317968314,-9.864051,-9.8632135,0.103788871762,0.322162803194286,0.0161646,0.002845,0.00321018492204,0.056658493820786,-0.0467832,-0.02893,0.03122293818056,0.176700136334299,0.0048307,0.004575,1.072701941E-05,0.003275212880104,-19.5315932,-19.4975585,0.01700102961016,0.130387996418995,11.8682907,11.9021605,0.02739521827481,0.165515009213092,-170.1897904,-170.2719425,0.06982791717984,0.264249725032667,Sitting
0.1227029,0.1228525,0.00472510200209,0.068739377376363,0.8466795,0.8380455,0.00092449437665,0.030405499118581,-9.9223796,-9.891569,0.00859121673404,0.092688816661127,0.0027076,-0.002917,0.00040415736144,0.02010366537326,-0.0383851,-0.009828,0.00886011953969,0.094128207991494,0.0117392,0.007742,0.00013665380236,0.011689901725849,-19.691574,-19.5598905,0.0773227546484,0.278069693869001,12.1057801,12.082375,0.02258940818429,0.150297731800217,-170.3751478,-170.3954845,0.110883427067956,0.332991632129031,Sitting
-0.1639131,-0.147019,0.00642522095149,0.080157475955085,0.903826,0.876128,0.0049409084426,0.070291595817708,-9.8584845,-9.8692735,0.00575508046965,0.07586224666888,-0.0107341,-0.0174785,0.00068270965609,0.026128713249795,-0.0141981,0.016576,0.00314823019569,0.056109091916462,0.0076293,0.007977,3.005590381E-05,0.005482326496115,-20.4201522,-20.328384,0.03576196215476,0.189108334440235,11.9719436,11.972168,0.00802466260884,0.089580481182231,-170.3943116,-170.383011,0.052601826160237,0.229350880007549,Sitting
-0.1150265,-0.134075,0.00497185699945,0.070511396238126,1.1145309,1.1571475,0.01099046058489,0.104835397575867,-9.8576764,-9.826327,0.01073943310924,0.103631236165743,-0.0211456,-0.0215215,0.00057335052324,0.023944738947001,0.0059034,0.0054505,0.00182573193684,0.042728584540563,0.0101909,0.0099515,9.802498109E-05,0.009900756591796,-20.2580001,-20.32225,0.03047454824789,0.174569608603245,12.7046004,12.7348785,0.03903568666644,0.197574509151459,-169.6779266,-169.6481475,0.02190893527964,0.148016672302954,Sitting
-0.0828095,-0.0783355,0.00316563208785,0.05626395016216,1.3086706,1.307608,0.00233470650924,0.048318800784374,-9.7841446,-9.759589,0.00435644953984,0.066003405516988,-0.0033625,-0.006118,0.00019912172665,0.0141110498068,0.0071048,-0.003678,0.00538433437616,0.073378023795684,0.0020632,0.0019795,0.00011675419456,0.010805285491832,-19.9813032,-19.978897,0.02009330839296,0.141750867344648,13.0515518,13.018524,0.01020453976336,0.101017522061076,-169.0894105,-169.085335,0.045907514132651,0.214260388622468,Sitting
0.0752677,0.097713,0.01768486757401,0.132984463656511,1.2800747,1.274463,0.00145145659401,0.03809798674484,-9.8353355,-9.820716,0.00133796517465,0.036578206279833,-0.0004863,0.0003495,0.00017466918081,0.013216246850373,-0.0015083,-0.0029315,0.00138516882281,0.037217856236087,0.0071854,0.0059865,0.00015292121604,0.012366131813951,-19.7733886,-19.7383575,0.02704454956304,0.164452271383037,13.0167755,13.0365905,0.01339370895405,0.11573119265803,-169.1632843,-169.119194,0.049736992468209,0.223017919612324,Sitting
0.0552162,0.0653165,0.00166979027476,0.040863067368469,1.2947392,1.291971,0.00025841699816,0.01607535374914,-9.8234094,-9.8275995,0.00020373853644,0.014273700866979,0.0008292,0.000711,8.68987736E-06,0.002947859793138,-0.0031297,-0.002663,9.009907881E-05,0.009492053455918,0.0047422,0.004364,2.661668136E-05,0.005159135718316,-19.6672807,-19.642273,0.01335784096921,0.11557612629436,12.9217591,12.801483,0.04623925325709,0.215033144554718,-168.8112412,-168.884056,0.062798059721159,0.250595410415193,Sitting
0.0659154,0.072275,0.00038168483364,0.019536755965103,1.2854018,1.2892775,0.00032029057616,0.017896663827652,-9.8259532,-9.825579,0.00026411397156,0.016251583663139,0.0013589,0.0004875,2.897857669E-05,0.005383175335246,-0.0022327,-0.0048085,9.420938641E-05,0.009706151987786,0.0038356,0.0055245,2.469616184E-05,0.004969523301082,-19.7683486,-19.7753295,0.00433965274124,0.065876040722254,12.997661,12.989304,0.0081979966512,0.09054278906241,-168.8487045,-168.923416,0.091815973648447,0.303011507452187,Sitting
0.0926557,0.094197,0.00068239612761,0.026122712868498,1.2748377,1.274763,7.4325249809999E-05,0.008621209300904,-9.8321483,-9.832837,0.00055922806101,0.023648003319731,-0.000878,-0.000358,9.6947646E-06,0.003113641694222,-0.0079565,-0.0071455,0.00012912912945,0.011363499876799,0.0070584,0.007243,1.51388504E-06,0.001230400357607,-19.7653091,-19.769142,0.00272574471989,0.052208665180121,13.1983382,13.1841735,0.01070172394876,0.103449137013124,-169.1702592,-169.1720735,0.046670928084758,0.216034552988077,Sitting
0.0815376,0.0816275,0.00014273333064,0.011947105533978,1.2775909,1.2731165,0.00017894211829,0.013376924844298,-9.828901,-9.831415,0.0001361481656,0.011668254608124,5.28000000000001E-05,-0.0002155,5.90199356E-06,0.002429401893471,-0.0085168,-0.0090815,1.805235016E-05,0.00424880573338,0.0064188,0.006823,2.68970996E-06,0.001640033524048,-19.7278183,-19.7451935,0.00482787907901,0.069482940920847,13.1482758,13.0902405,0.02854523081536,0.168953339166055,-169.0781831,-169.036171,0.021261002773089,0.145811531687616,Sitting
