A1,M1,V1,S1,A2,M2,V2,S2,A3,M3,V3,S3,A4,M4,V4,S4,A5,M5,V5,S5,A6,M6,V6,S6,A7,M7,V7,S7,A8,M8,V8,S8,A9,M9,V9,S9,State
0.1532888,0.17762,0.00612179132656,0.078241877064396,9.6808496,9.6961425,0.00104818457484,0.032375678754893,-1.1841871,-1.1660515,0.00484620335309,0.069614677713037,-0.0083818,-0.002035,0.00068268306816,0.026128204457253,-0.021065,-0.014963,0.0012537615862,0.035408495960716,-0.0024622,-0.0002485,0.00013051659476,0.01142438596862,-36.309883,-36.3058165,0.0011855895716,0.034432391313995,15.968341,15.9968945,0.0244402376994,0.156333738199405,-118.880304,-118.852028,0.081266185107798,0.285072245418241,Standing
-0.1580474,-0.149638,0.01620779795064,0.127309850171305,9.7664124,9.7520325,0.00662129965804,0.081371368785587,-0.6681768,-0.621969,0.07760423123996,0.278575360073284,-0.0803596,-0.086306,0.00072080168964,0.026847750178367,-0.0615848,-0.0546865,0.00334672628316,0.057850896995293,-0.0520114,-0.051003,0.00011394836024,0.010674659724788,-36.8587372,-36.9075165,0.05769851802876,0.24020515820598,14.2992554,14.381859,0.56219194176724,0.749794599718643,-117.0866776,-117.219826,0.596357173644438,0.772241654952929,Standing
-0.7430106,-0.7922565,0.01561841299744,0.124973649212304,9.7356918,9.7333275,0.00051817606796,0.022763481015873,-0.2996343,-0.2946365,0.01562955512841,0.125018219185885,-0.0014774,-0.000971,0.00048917568324,0.022117316366142,0.0074652,0.0113875,0.01116758397836,0.10567679015924,-0.0289791,-0.0302005,0.00021173450109,0.01455109965226,-37.1766098,-36.967903,0.466314424643961,0.682872187633938,12.6765794,12.754219,0.07019295496324,0.264939530767381,-115.7238922,-115.692139,0.059483336827761,0.243892059788262,Standing
-0.9116221,-0.879046,0.01376054954569,0.117305368784596,9.7220748,9.726594,0.00057929062776,0.024068457112162,-0.3619434,-0.35307,0.00274772085044,0.052418707065703,-0.0004447,0.000973,0.00014033514561,0.011846313587357,0.0056985,-0.010271,0.00295973686745,0.054403463744968,0.0064057,0.00653,0.00027971253081,0.016724608539814,-38.6001449,-38.5166855,0.04245626412369,0.206049178895938,12.2787553,12.252487,0.02211112786661,0.148698109828639,-116.0821579,-115.9519045,0.122660391220491,0.350229055363045,Standing
-0.8624364,-0.8450785,0.00218026922684,0.046693353133396,9.7308587,9.739014,0.00063957940221,0.025289907121419,-0.3513341,-0.335263,0.00356147542189,0.059678098343446,0.0093196,0.0067505,3.704263224E-05,0.006086265869973,-0.0217753,-0.02443,0.00010969941161,0.010473748689462,0.009348,0.0106905,6.62920554E-05,0.008141993330874,-38.2998474,-38.3115535,0.01579272800264,0.125669121118276,12.3268616,12.3262325,0.01398590108364,0.118262001858754,-115.9339476,-115.8989865,0.044843794142839,0.211763533552968,Standing
-0.7974936,-0.792481,0.00406904093104,0.063789034567393,9.7177804,9.7280905,0.00035634681404,0.01887715058053,-0.3863194,-0.404171,0.00827595977284,0.090972302228975,-0.0026009,-0.0016715,6.780853289E-05,0.008234593668785,-0.0775609,-0.07942,0.00097357983989,0.0312022409434,0.0114407,0.0103265,4.493985721E-05,0.006703719654789,-37.3041795,-37.459961,0.28868299560985,0.53729228136076,12.5191956,12.491089,0.01904504748304,0.138003795176219,-115.5576172,-115.5244675,0.10928865496176,0.330588346681731,Standing
-0.7834277,-0.782006,0.00358673132941,0.059889325671692,9.7395675,9.738041,0.00082876359345,0.02878825443562,-0.3070114,-0.2979285,0.00196464212324,0.044324283674302,0.0003206,0.000979,4.858610064E-05,0.006970373063187,-0.0121658,-0.004379,0.00024672369916,0.015707440885135,0.0107836,0.007479,3.259731844E-05,0.005709406137244,-36.2709672,-36.298622,0.01888033439836,0.137405729132231,12.5519548,12.5750655,0.01864118036796,0.136532708051807,-114.8097518,-114.83876,0.02087378746336,0.144477636550991,Standing
-0.8074895,-0.7980925,0.00310116773685,0.055688129227422,9.7237508,9.7271925,0.00066760769956,0.025838105572197,-0.2756624,-0.2768295,0.00443448968984,0.066591964153643,-0.007064,-0.0058875,4.06121848E-05,0.006372769005699,0.0109678,0.004493,0.00168152630176,0.04100641781185,-0.0025693,-0.0016065,4.306060461E-05,0.006562057955398,-36.3172439,-36.3064805,0.04083786396089,0.202083804301309,12.7708984,12.759178,0.01106245075804,0.1051781857518,-114.6172072,-114.6543195,0.033150650086759,0.182073199803703,Standing
-0.8491184,-0.8499415,0.00166324042604,0.040782844751685,9.7276713,9.726968,0.00010940294521,0.010459586282927,-0.2566584,-0.2689735,0.00174882608644,0.041818968022179,0.0032139,0.003965,2.007037969E-05,0.004479997733258,-0.0183714,-0.0196375,0.00013006226564,0.011404484453056,0.0093289,0.0095815,1.151501449E-05,0.003393378035233,-36.4134155,-36.4052735,0.00843502643205,0.091842399968916,12.6654999,12.6820225,0.01396211693309,0.118161402044364,-114.8485979,-114.908684,0.05028660805809,0.224246757073741,Standing
-0.7974636,-0.799813,0.00094276617564,0.030704497645133,9.7356769,9.729811,0.00033649473849,0.018343792914498,-0.3014299,-0.2970305,0.00026521564389,0.016285442698619,0.0043412,0.003531,7.06238436E-06,0.002657514696102,-0.0045345,-0.0050635,5.623377325E-05,0.007498918138638,0.0113392,0.011461,1.350958496E-05,0.003675538730581,-36.363469,-36.3535155,0.005528136913,0.07435144190263,12.7487687,12.7769625,0.01686537868881,0.129866772843595,-115.049176,-115.0785295,0.043774363330001,0.209223238025801,Standing
